artist.name,track.name,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity
Billie Eilish,bad guy,pop,0.701,0.425,7,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,86
Lewis Capaldi,Someone You Loved,pop,0.501,0.405,1,-5.679,0.0319,0.751,0,0.105,0.446,109.891,89
Lizzo,Truth Hurts,pop,0.715,0.624,4,-3.046,0.114,0.11,0,0.123,0.412,158.087,69
Lil Nas X,Old Town Road - Remix,pop,0.878,0.619,6,-5.56,0.102,0.0533,0,0.113,0.639,136.041,80
Tones And I,Dance Monkey,pop,0.824,0.588,6,-6.4,0.0924,0.692,1.04e-4,0.149,0.513,98.027,87
Ariana Grande,7 rings,pop,0.778,0.317,1,-10.732,0.334,0.592,0,0.0881,0.327,140.048,85
Post Malone,Circles,pop,0.695,0.762,0,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,87
Shawn Mendes,Señorita,pop,0.759,0.548,9,-6.049,0.029,0.0392,0,0.0828,0.749,116.967,80
Khalid,Talk (feat. Disclosure),pop,0.901,0.4,0,-8.575,0.126,0.051,0,0.0599,0.346,135.984,74
Sam Smith,Dancing With A Stranger (with Normani),pop,0.741,0.52,8,-7.513,0.0656,0.45,1.97e-6,0.222,0.347,102.998,80
DaBaby,Suge,pop,0.876,0.662,2,-6.482,0.426,0.0608,0,0.127,0.844,75.445,77
blackbear,hot girl bummer,pop,0.778,0.559,6,-7.109,0.0776,0.128,0,0.399,0.678,129.989,23
Marshmello,Here With Me,pop,0.791,0.565,5,-3.933,0.0439,0.0623,0,0.156,0.181,99.961,75
Bazzi,Paradise,pop,0.844,0.644,11,-6.273,0.0479,0.0828,0,0.113,0.591,122.061,75
"Tyler, The Creator",EARFQUAKE,pop,0.554,0.498,9,-8.866,0.0685,0.23,5.98e-6,0.795,0.413,79.635,79
Lauv,i'm so tired...,pop,0.599,0.733,11,-7.058,0.203,0.176,0,0.242,0.534,102.211,10
ROSALÍA,Con Altura,pop,0.882,0.689,6,-4.027,0.124,0.39,0.00325,0.0501,0.746,97.963,76
Ed Sheeran,I Don't Care (with Justin Bieber),pop,0.798,0.676,6,-5.041,0.0442,0.0902,0,0.0894,0.843,101.956,76
Taylor Swift,Lover,pop,0.359,0.543,7,-7.582,0.0919,0.492,1.58e-5,0.118,0.453,68.534,77
