playlist_id,playlist_name,playlist_img,playlist_owner_name,playlist_owner_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,analysis_url,time_signature,added_at,is_local,primary_color,added_by.href,added_by.id,added_by.type,added_by.uri,added_by.external_urls.spotify,href,id,name,type,uri,external_urls.spotify,track.disc_number,track.duration_ms,track.episode,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track,track.track_number,track.type,track.uri,track.album.album_type,track.album.href,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url,key_name,mode_name,key_mode,genre
37i9dQZF1DX3RCeShx2suK,Hot Country Presents...Best Country Songs of 2019,https://i.scdn.co/image/ab67706f00000003e03528adf96ed8831632ab0e,Spotify,spotify,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,6u7jPi22kF8CTQ3rb9DHE7,https://api.spotify.com/v1/audio-analysis/6u7jPi22kF8CTQ3rb9DHE7,4,2019-12-09T23:20:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/7jVv8c5Fj3E9VhNjxT4snq,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,artist,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq,1,157066,FALSE,FALSE,https://api.spotify.com/v1/tracks/6u7jPi22kF8CTQ3rb9DHE7,FALSE,Old Town Road (feat. Billy Ray Cyrus) - Remix,7,NA,TRUE,1,track,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,single,https://api.spotify.com/v1/albums/38kpkGLuPr1nNfD3iEyOlJ,38kpkGLuPr1nNfD3iEyOlJ,Old Town Road,2019-04-05,day,2,album,spotify:album:38kpkGLuPr1nNfD3iEyOlJ,https://open.spotify.com/album/38kpkGLuPr1nNfD3iEyOlJ,USSM11902498,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,NA,F#,major,F# major,country
37i9dQZF1DX3RCeShx2suK,Hot Country Presents...Best Country Songs of 2019,https://i.scdn.co/image/ab67706f00000003e03528adf96ed8831632ab0e,Spotify,spotify,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,4,2019-12-09T23:20:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/7z5WFjZAIYejWy0NI5lv4T,7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,artist,spotify:artist:7z5WFjZAIYejWy0NI5lv4T,https://open.spotify.com/artist/7z5WFjZAIYejWy0NI5lv4T,1,167693,FALSE,FALSE,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,FALSE,"10,000 Hours (with Justin Bieber)",83,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,single,https://api.spotify.com/v1/albums/4ow6xJwn49gpWz7iHpOzWY,4ow6xJwn49gpWz7iHpOzWY,"10,000 Hours (with Justin Bieber)",2019-10-04,day,1,album,spotify:album:4ow6xJwn49gpWz7iHpOzWY,https://open.spotify.com/album/4ow6xJwn49gpWz7iHpOzWY,USWB11902440,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,NA,A#,major,A# major,country
37i9dQZF1DX3RCeShx2suK,Hot Country Presents...Best Country Songs of 2019,https://i.scdn.co/image/ab67706f00000003e03528adf96ed8831632ab0e,Spotify,spotify,0.474,0.594,11,-5.756,1,0.0289,0.0292,0,0.133,0.503,86.131,7Il2yWQmsqKgSkLQvHTPUI,https://api.spotify.com/v1/audio-analysis/7Il2yWQmsqKgSkLQvHTPUI,4,2019-12-09T23:20:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/7z5WFjZAIYejWy0NI5lv4T,7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,artist,spotify:artist:7z5WFjZAIYejWy0NI5lv4T,https://open.spotify.com/artist/7z5WFjZAIYejWy0NI5lv4T,1,195986,FALSE,FALSE,https://api.spotify.com/v1/tracks/7Il2yWQmsqKgSkLQvHTPUI,FALSE,Tequila,68,https://p.scdn.co/mp3-preview/87979ad13f81aa7496536702ebf5635dad20bec9?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:7Il2yWQmsqKgSkLQvHTPUI,single,https://api.spotify.com/v1/albums/01w6VtM4EpFWvBNg4g9xZF,01w6VtM4EpFWvBNg4g9xZF,Tequila,2018-01-10,day,1,album,spotify:album:01w6VtM4EpFWvBNg4g9xZF,https://open.spotify.com/album/01w6VtM4EpFWvBNg4g9xZF,USWB11702518,https://open.spotify.com/track/7Il2yWQmsqKgSkLQvHTPUI,NA,B,major,B major,country
37i9dQZF1DX3RCeShx2suK,Hot Country Presents...Best Country Songs of 2019,https://i.scdn.co/image/ab67706f00000003e03528adf96ed8831632ab0e,Spotify,spotify,0.54,0.863,1,-4.483,1,0.0481,0.0138,0,0.0871,0.64,77,5eDvChP4WAPPrtaQeI9MhT,https://api.spotify.com/v1/audio-analysis/5eDvChP4WAPPrtaQeI9MhT,4,2019-12-09T23:20:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/718COspgdWOnwOFpJHRZHS,718COspgdWOnwOFpJHRZHS,Luke Combs,artist,spotify:artist:718COspgdWOnwOFpJHRZHS,https://open.spotify.com/artist/718COspgdWOnwOFpJHRZHS,1,186800,FALSE,FALSE,https://api.spotify.com/v1/tracks/5eDvChP4WAPPrtaQeI9MhT,FALSE,Beer Never Broke My Heart,0,NA,TRUE,1,track,spotify:track:5eDvChP4WAPPrtaQeI9MhT,single,https://api.spotify.com/v1/albums/4NiEW0J6PCsvdxS2ocAqtd,4NiEW0J6PCsvdxS2ocAqtd,Beer Never Broke My Heart,2019-05-08,day,1,album,spotify:album:4NiEW0J6PCsvdxS2ocAqtd,https://open.spotify.com/album/4NiEW0J6PCsvdxS2ocAqtd,US6XF1700264,https://open.spotify.com/track/5eDvChP4WAPPrtaQeI9MhT,NA,C#,major,C# major,country
37i9dQZF1DX3RCeShx2suK,Hot Country Presents...Best Country Songs of 2019,https://i.scdn.co/image/ab67706f00000003e03528adf96ed8831632ab0e,Spotify,spotify,0.847,0.678,9,-8.635,1,0.109,0.0669,0,0.274,0.811,97.984,5dW1VZPcFqB4n0P08rGDgm,https://api.spotify.com/v1/audio-analysis/5dW1VZPcFqB4n0P08rGDgm,4,2019-12-09T23:20:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/3yzRiNMZdTsSUgplcyYZ4i,3yzRiNMZdTsSUgplcyYZ4i,Blanco Brown,artist,spotify:artist:3yzRiNMZdTsSUgplcyYZ4i,https://open.spotify.com/artist/3yzRiNMZdTsSUgplcyYZ4i,1,200593,FALSE,FALSE,https://api.spotify.com/v1/tracks/5dW1VZPcFqB4n0P08rGDgm,FALSE,The Git Up,4,NA,TRUE,1,track,spotify:track:5dW1VZPcFqB4n0P08rGDgm,single,https://api.spotify.com/v1/albums/00xSEAMEAPTF17t2rdOFYF,00xSEAMEAPTF17t2rdOFYF,The Git Up,2019-05-03,day,1,album,spotify:album:00xSEAMEAPTF17t2rdOFYF,https://open.spotify.com/album/00xSEAMEAPTF17t2rdOFYF,QZEPT1900040,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm,NA,A,major,A major,country
37i9dQZF1DX3RCeShx2suK,Hot Country Presents...Best Country Songs of 2019,https://i.scdn.co/image/ab67706f00000003e03528adf96ed8831632ab0e,Spotify,spotify,0.612,0.57,11,-6.642,0,0.0347,0.279,0,0.0963,0.335,77.004,3npzogdOEiVsieXmmhBepL,https://api.spotify.com/v1/audio-analysis/3npzogdOEiVsieXmmhBepL,4,2019-12-09T23:20:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/6WY7D3jk8zTrHtmkqqo5GI,6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,artist,spotify:artist:6WY7D3jk8zTrHtmkqqo5GI,https://open.spotify.com/artist/6WY7D3jk8zTrHtmkqqo5GI,1,197293,FALSE,FALSE,https://api.spotify.com/v1/tracks/3npzogdOEiVsieXmmhBepL,FALSE,The Bones,6,NA,TRUE,12,track,spotify:track:3npzogdOEiVsieXmmhBepL,album,https://api.spotify.com/v1/albums/5QakU0QMcoxjjyCS1YW4G5,5QakU0QMcoxjjyCS1YW4G5,GIRL,2019-03-08,day,14,album,spotify:album:5QakU0QMcoxjjyCS1YW4G5,https://open.spotify.com/album/5QakU0QMcoxjjyCS1YW4G5,USG4X1800054,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL,NA,B,minor,B minor,country
37i9dQZF1DX3RCeShx2suK,Hot Country Presents...Best Country Songs of 2019,https://i.scdn.co/image/ab67706f00000003e03528adf96ed8831632ab0e,Spotify,spotify,0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,4hPpVbbakQNv8YTHYaOJP4,https://api.spotify.com/v1/audio-analysis/4hPpVbbakQNv8YTHYaOJP4,4,2019-12-09T23:20:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/64KEffDW9EtZ1y2vBYgq8T,64KEffDW9EtZ1y2vBYgq8T,Marshmello,artist,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,https://open.spotify.com/artist/64KEffDW9EtZ1y2vBYgq8T,1,181823,FALSE,FALSE,https://api.spotify.com/v1/tracks/4hPpVbbakQNv8YTHYaOJP4,FALSE,One Thing Right,75,https://p.scdn.co/mp3-preview/86a860d6266e657a2a47b7c2266a9a98c1ba564d?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:4hPpVbbakQNv8YTHYaOJP4,single,https://api.spotify.com/v1/albums/4QAC6FquY8D0RXom13iE5J,4QAC6FquY8D0RXom13iE5J,One Thing Right,2019-06-21,day,1,album,spotify:album:4QAC6FquY8D0RXom13iE5J,https://open.spotify.com/album/4QAC6FquY8D0RXom13iE5J,US6XF1800275,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,NA,E,major,E major,country
37i9dQZF1DX3RCeShx2suK,Hot Country Presents...Best Country Songs of 2019,https://i.scdn.co/image/ab67706f00000003e03528adf96ed8831632ab0e,Spotify,spotify,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-6,0.118,0.217,139.984,1dyxS3YzBbL0t8rEVwVQ1K,https://api.spotify.com/v1/audio-analysis/1dyxS3YzBbL0t8rEVwVQ1K,4,2019-12-09T23:20:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/1UTPBmNbXNTittyMJrNkvw,1UTPBmNbXNTittyMJrNkvw,Blake Shelton,artist,spotify:artist:1UTPBmNbXNTittyMJrNkvw,https://open.spotify.com/artist/1UTPBmNbXNTittyMJrNkvw,1,205106,FALSE,FALSE,https://api.spotify.com/v1/tracks/1dyxS3YzBbL0t8rEVwVQ1K,FALSE,God's Country,71,https://p.scdn.co/mp3-preview/4090618c91ecefd9120f21a030f562457b0186ac?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:1dyxS3YzBbL0t8rEVwVQ1K,single,https://api.spotify.com/v1/albums/5b92Q0wcU49AnhBmu3IxOx,5b92Q0wcU49AnhBmu3IxOx,God's Country,2019-03-29,day,1,album,spotify:album:5b92Q0wcU49AnhBmu3IxOx,https://open.spotify.com/album/5b92Q0wcU49AnhBmu3IxOx,USWB11900819,https://open.spotify.com/track/1dyxS3YzBbL0t8rEVwVQ1K,NA,A#,major,A# major,country
37i9dQZF1DX3RCeShx2suK,Hot Country Presents...Best Country Songs of 2019,https://i.scdn.co/image/ab67706f00000003e03528adf96ed8831632ab0e,Spotify,spotify,0.462,0.512,9,-5.443,1,0.0334,0.478,0,0.0993,0.29,114.014,1s71G3V7XQaVo5IOR6gLbp,https://api.spotify.com/v1/audio-analysis/1s71G3V7XQaVo5IOR6gLbp,4,2019-12-09T23:20:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/3RqBeV12Tt7A8xH3zBDDUF,3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini,artist,spotify:artist:3RqBeV12Tt7A8xH3zBDDUF,https://open.spotify.com/artist/3RqBeV12Tt7A8xH3zBDDUF,1,167796,FALSE,FALSE,https://api.spotify.com/v1/tracks/1s71G3V7XQaVo5IOR6gLbp,FALSE,homecoming queen?,57,https://p.scdn.co/mp3-preview/b48e810e0950f16e1e8352de28f5f746caf8b0e0?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:1s71G3V7XQaVo5IOR6gLbp,single,https://api.spotify.com/v1/albums/2lFDv7V3owbyWPJ2Ln5h2J,2lFDv7V3owbyWPJ2Ln5h2J,homecoming queen?,2019-09-06,day,1,album,spotify:album:2lFDv7V3owbyWPJ2Ln5h2J,https://open.spotify.com/album/2lFDv7V3owbyWPJ2Ln5h2J,USS9T1900010,https://open.spotify.com/track/1s71G3V7XQaVo5IOR6gLbp,NA,A,major,A major,country
37i9dQZF1DX3RCeShx2suK,Hot Country Presents...Best Country Songs of 2019,https://i.scdn.co/image/ab67706f00000003e03528adf96ed8831632ab0e,Spotify,spotify,0.705,0.363,6,-8.327,1,0.0355,0.667,0,0.112,0.482,75.98,3ksmU0DaEUMEVzx5V6cc3z,https://api.spotify.com/v1/audio-analysis/3ksmU0DaEUMEVzx5V6cc3z,4,2019-12-09T23:20:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/6y8XlgIV8BLlIg1tT1R10i,6y8XlgIV8BLlIg1tT1R10i,Old Dominion,artist,spotify:artist:6y8XlgIV8BLlIg1tT1R10i,https://open.spotify.com/artist/6y8XlgIV8BLlIg1tT1R10i,1,186520,FALSE,FALSE,https://api.spotify.com/v1/tracks/3ksmU0DaEUMEVzx5V6cc3z,FALSE,One Man Band,1,NA,TRUE,2,track,spotify:track:3ksmU0DaEUMEVzx5V6cc3z,single,https://api.spotify.com/v1/albums/55uC8u8BqPgA4LGWALnOK3,55uC8u8BqPgA4LGWALnOK3,Old Dominion,2019-01-18,day,2,album,spotify:album:55uC8u8BqPgA4LGWALnOK3,https://open.spotify.com/album/55uC8u8BqPgA4LGWALnOK3,USRN11800147,https://open.spotify.com/track/3ksmU0DaEUMEVzx5V6cc3z,NA,F#,major,F# major,country
