playlist_id,playlist_name,playlist_img,playlist_owner_name,playlist_owner_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,analysis_url,time_signature,added_at,is_local,primary_color,added_by.href,added_by.id,added_by.type,added_by.uri,added_by.external_urls.spotify,href,id,name,type,uri,external_urls.spotify,track.disc_number,track.duration_ms,track.episode,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track,track.track_number,track.type,track.uri,track.album.album_type,track.album.href,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url,key_name,mode_name,key_mode,genre
37i9dQZF1DWYdLqwKCcDiy,Best of Folk & Americana 2019,https://i.scdn.co/image/ab67706f000000033bab14819f407e69ed2fbe66,Spotify,spotify,0.554,0.47,8,-6.604,0,0.0548,0.77,2.6e-6,0.106,0.346,95.598,0CTNLJMN9dMG4cl5qgsZSv,https://api.spotify.com/v1/audio-analysis/0CTNLJMN9dMG4cl5qgsZSv,4,2019-12-10T05:03:28Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/3iyG1duuxWpcuWa57VSeZ0,3iyG1duuxWpcuWa57VSeZ0,The Highwomen,artist,spotify:artist:3iyG1duuxWpcuWa57VSeZ0,https://open.spotify.com/artist/3iyG1duuxWpcuWa57VSeZ0,1,212480,FALSE,FALSE,https://api.spotify.com/v1/tracks/0CTNLJMN9dMG4cl5qgsZSv,FALSE,Highwomen,56,https://p.scdn.co/mp3-preview/a13f0c7aa8bea3793b201889ab667adc569ebd7c?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:0CTNLJMN9dMG4cl5qgsZSv,album,https://api.spotify.com/v1/albums/7sGTt1N5XMIQPCYHAnO1Pl,7sGTt1N5XMIQPCYHAnO1Pl,The Highwomen,2019-09-06,day,12,album,spotify:album:7sGTt1N5XMIQPCYHAnO1Pl,https://open.spotify.com/album/7sGTt1N5XMIQPCYHAnO1Pl,USAT21903996,https://open.spotify.com/track/0CTNLJMN9dMG4cl5qgsZSv,NA,G#,minor,G# minor,fna
37i9dQZF1DWYdLqwKCcDiy,Best of Folk & Americana 2019,https://i.scdn.co/image/ab67706f000000033bab14819f407e69ed2fbe66,Spotify,spotify,0.396,0.198,2,-9.096,1,0.031,0.912,0,0.0972,0.19,138.624,5ZUObJNpVt2l9GogUSfALc,https://api.spotify.com/v1/audio-analysis/5ZUObJNpVt2l9GogUSfALc,3,2019-12-10T05:03:28Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/4TCXgdDPm10ensLNCVnIYa,4TCXgdDPm10ensLNCVnIYa,Joy Williams,artist,spotify:artist:4TCXgdDPm10ensLNCVnIYa,https://open.spotify.com/artist/4TCXgdDPm10ensLNCVnIYa,1,235586,FALSE,FALSE,https://api.spotify.com/v1/tracks/5ZUObJNpVt2l9GogUSfALc,FALSE,The Trouble with Wanting,63,https://p.scdn.co/mp3-preview/cdd9c93542f850d4fb954b19d1f0c2b398281563?cid=3aae041578b64519942b572adc41f54b,TRUE,5,track,spotify:track:5ZUObJNpVt2l9GogUSfALc,album,https://api.spotify.com/v1/albums/0vK1POb7cjZdlZkShnqEDu,0vK1POb7cjZdlZkShnqEDu,Front Porch,2019-05-03,day,12,album,spotify:album:0vK1POb7cjZdlZkShnqEDu,https://open.spotify.com/album/0vK1POb7cjZdlZkShnqEDu,QZED31800005,https://open.spotify.com/track/5ZUObJNpVt2l9GogUSfALc,NA,D,major,D major,fna
37i9dQZF1DWYdLqwKCcDiy,Best of Folk & Americana 2019,https://i.scdn.co/image/ab67706f000000033bab14819f407e69ed2fbe66,Spotify,spotify,0.57,0.186,8,-10.603,1,0.0318,0.93,0,0.115,0.319,76.45,3cTbjXWKsCm1hg3TrUlFXC,https://api.spotify.com/v1/audio-analysis/3cTbjXWKsCm1hg3TrUlFXC,4,2019-12-10T05:03:28Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/3oXddLOOjkoUuC2sX1RMdr,3oXddLOOjkoUuC2sX1RMdr,I'm With Her,artist,spotify:artist:3oXddLOOjkoUuC2sX1RMdr,https://open.spotify.com/artist/3oXddLOOjkoUuC2sX1RMdr,1,197458,FALSE,FALSE,https://api.spotify.com/v1/tracks/3cTbjXWKsCm1hg3TrUlFXC,FALSE,Call My Name - Acoustic,32,NA,TRUE,1,track,spotify:track:3cTbjXWKsCm1hg3TrUlFXC,single,https://api.spotify.com/v1/albums/1LqBXlceuWPGSLfxtQnikA,1LqBXlceuWPGSLfxtQnikA,Call My Name (Acoustic),2019-03-08,day,2,album,spotify:album:1LqBXlceuWPGSLfxtQnikA,https://open.spotify.com/album/1LqBXlceuWPGSLfxtQnikA,USRO21901541,https://open.spotify.com/track/3cTbjXWKsCm1hg3TrUlFXC,NA,G#,major,G# major,fna
37i9dQZF1DWYdLqwKCcDiy,Best of Folk & Americana 2019,https://i.scdn.co/image/ab67706f000000033bab14819f407e69ed2fbe66,Spotify,spotify,0.676,0.198,1,-13.91,1,0.0333,0.943,0.0132,0.104,0.125,118.004,2QlPMIhutG3WHV26Eza8u9,https://api.spotify.com/v1/audio-analysis/2QlPMIhutG3WHV26Eza8u9,4,2019-12-10T05:03:28Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/3Aut8hgiqZSy2qmJluZMU9,3Aut8hgiqZSy2qmJluZMU9,Rosie Carney,artist,spotify:artist:3Aut8hgiqZSy2qmJluZMU9,https://open.spotify.com/artist/3Aut8hgiqZSy2qmJluZMU9,1,206440,FALSE,FALSE,https://api.spotify.com/v1/tracks/2QlPMIhutG3WHV26Eza8u9,FALSE,Thousand (feat. Lisa Hannigan),62,https://p.scdn.co/mp3-preview/4b4434db83c1c617d1d164e9aab8b9b3eb4874d4?cid=3aae041578b64519942b572adc41f54b,TRUE,3,track,spotify:track:2QlPMIhutG3WHV26Eza8u9,album,https://api.spotify.com/v1/albums/11uRisUr2dNqeKIn8dhB3Z,11uRisUr2dNqeKIn8dhB3Z,Bare,2019-01-25,day,11,album,spotify:album:11uRisUr2dNqeKIn8dhB3Z,https://open.spotify.com/album/11uRisUr2dNqeKIn8dhB3Z,QM6MZ1893654,https://open.spotify.com/track/2QlPMIhutG3WHV26Eza8u9,NA,C#,major,C# major,fna
37i9dQZF1DWYdLqwKCcDiy,Best of Folk & Americana 2019,https://i.scdn.co/image/ab67706f000000033bab14819f407e69ed2fbe66,Spotify,spotify,0.687,0.234,9,-12.559,1,0.029,0.848,7.72e-6,0.116,0.339,95.023,2J2oWsC3KGoqdUMIwcMRMU,https://api.spotify.com/v1/audio-analysis/2J2oWsC3KGoqdUMIwcMRMU,4,2019-12-10T05:03:28Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/0RLSq3hJOLcEezH3rTpnsB,0RLSq3hJOLcEezH3rTpnsB,Humbird,artist,spotify:artist:0RLSq3hJOLcEezH3rTpnsB,https://open.spotify.com/artist/0RLSq3hJOLcEezH3rTpnsB,1,155352,FALSE,FALSE,https://api.spotify.com/v1/tracks/2J2oWsC3KGoqdUMIwcMRMU,FALSE,Pharmakon,59,https://p.scdn.co/mp3-preview/965818006ba39ed84df3b05472be4aa4bc90fd59?cid=3aae041578b64519942b572adc41f54b,TRUE,5,track,spotify:track:2J2oWsC3KGoqdUMIwcMRMU,album,https://api.spotify.com/v1/albums/2aLrFMwpy2iZzAUHqh49Th,2aLrFMwpy2iZzAUHqh49Th,Pharmakon,2019-08-30,day,9,album,spotify:album:2aLrFMwpy2iZzAUHqh49Th,https://open.spotify.com/album/2aLrFMwpy2iZzAUHqh49Th,QZEYD1800005,https://open.spotify.com/track/2J2oWsC3KGoqdUMIwcMRMU,NA,A,major,A major,fna
37i9dQZF1DWYdLqwKCcDiy,Best of Folk & Americana 2019,https://i.scdn.co/image/ab67706f000000033bab14819f407e69ed2fbe66,Spotify,spotify,0.615,0.472,5,-8.638,0,0.0312,0.125,0,0.115,0.46,107.217,1IUjddy3uFzP76h8Zl9vFI,https://api.spotify.com/v1/audio-analysis/1IUjddy3uFzP76h8Zl9vFI,4,2019-12-10T05:03:28Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/2TEpPi5SFalflhpcQHq3lB,2TEpPi5SFalflhpcQHq3lB,Ian Noe,artist,spotify:artist:2TEpPi5SFalflhpcQHq3lB,https://open.spotify.com/artist/2TEpPi5SFalflhpcQHq3lB,1,269083,FALSE,FALSE,https://api.spotify.com/v1/tracks/1IUjddy3uFzP76h8Zl9vFI,FALSE,Letter to Madeline,54,https://p.scdn.co/mp3-preview/4ae3c62af993c7f6517335027252b43eee4dff24?cid=3aae041578b64519942b572adc41f54b,TRUE,4,track,spotify:track:1IUjddy3uFzP76h8Zl9vFI,album,https://api.spotify.com/v1/albums/3I8X5k9o3KJHtxhQRWOQaf,3I8X5k9o3KJHtxhQRWOQaf,Between the Country,2019-05-31,day,10,album,spotify:album:3I8X5k9o3KJHtxhQRWOQaf,https://open.spotify.com/album/3I8X5k9o3KJHtxhQRWOQaf,QMANK1900604,https://open.spotify.com/track/1IUjddy3uFzP76h8Zl9vFI,NA,F,minor,F minor,fna
37i9dQZF1DWYdLqwKCcDiy,Best of Folk & Americana 2019,https://i.scdn.co/image/ab67706f000000033bab14819f407e69ed2fbe66,Spotify,spotify,0.593,0.447,7,-10.497,0,0.0325,0.862,8.78e-5,0.116,0.195,114.235,2z4NCsQxVucYfAeUU1ljE2,https://api.spotify.com/v1/audio-analysis/2z4NCsQxVucYfAeUU1ljE2,4,2019-12-10T05:03:28Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/7fxtWEwKKrFaykKItspdYg,7fxtWEwKKrFaykKItspdYg,The Milk Carton Kids,artist,spotify:artist:7fxtWEwKKrFaykKItspdYg,https://open.spotify.com/artist/7fxtWEwKKrFaykKItspdYg,1,144946,FALSE,FALSE,https://api.spotify.com/v1/tracks/2z4NCsQxVucYfAeUU1ljE2,FALSE,I'll Be Gone,41,https://p.scdn.co/mp3-preview/c93c6d545629216213ac9bb849b383fa114ac804?cid=3aae041578b64519942b572adc41f54b,TRUE,2,track,spotify:track:2z4NCsQxVucYfAeUU1ljE2,album,https://api.spotify.com/v1/albums/72jSY4ND11mZ9qeOmIsVJh,72jSY4ND11mZ9qeOmIsVJh,The Only Ones,2019-10-18,day,7,album,spotify:album:72jSY4ND11mZ9qeOmIsVJh,https://open.spotify.com/album/72jSY4ND11mZ9qeOmIsVJh,QZJ861900002,https://open.spotify.com/track/2z4NCsQxVucYfAeUU1ljE2,NA,G,minor,G minor,fna
37i9dQZF1DWYdLqwKCcDiy,Best of Folk & Americana 2019,https://i.scdn.co/image/ab67706f000000033bab14819f407e69ed2fbe66,Spotify,spotify,0.379,0.183,0,-9.926,0,0.0332,0.981,6.22e-4,0.112,0.197,147.546,2njguLBr2BLfsRdHtg3WmT,https://api.spotify.com/v1/audio-analysis/2njguLBr2BLfsRdHtg3WmT,4,2019-12-10T05:03:28Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/1EI0NtLHoh9KBziYCeN1vM,1EI0NtLHoh9KBziYCeN1vM,Rhiannon Giddens,artist,spotify:artist:1EI0NtLHoh9KBziYCeN1vM,https://open.spotify.com/artist/1EI0NtLHoh9KBziYCeN1vM,1,287417,FALSE,FALSE,https://api.spotify.com/v1/tracks/2njguLBr2BLfsRdHtg3WmT,FALSE,Wayfaring Stranger (with Francesco Turrisi),38,https://p.scdn.co/mp3-preview/5f45e24d43cd8c20c4f3275a2354c8c6d5bf6365?cid=3aae041578b64519942b572adc41f54b,TRUE,3,track,spotify:track:2njguLBr2BLfsRdHtg3WmT,album,https://api.spotify.com/v1/albums/6KI61E4x5f95xVkhly783t,6KI61E4x5f95xVkhly783t,there is no Other (with Francesco Turrisi) [Deluxe Version],2019-05-03,day,16,album,spotify:album:6KI61E4x5f95xVkhly783t,https://open.spotify.com/album/6KI61E4x5f95xVkhly783t,USNO11900048,https://open.spotify.com/track/2njguLBr2BLfsRdHtg3WmT,NA,C,minor,C minor,fna
37i9dQZF1DWYdLqwKCcDiy,Best of Folk & Americana 2019,https://i.scdn.co/image/ab67706f000000033bab14819f407e69ed2fbe66,Spotify,spotify,0.567,0.434,7,-12.755,0,0.0349,0.86,0.257,0.115,0.254,82.459,7gDNQLV9cr8449LFrQbk5J,https://api.spotify.com/v1/audio-analysis/7gDNQLV9cr8449LFrQbk5J,4,2019-12-10T05:03:28Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/5sXaGoRLSpd7VeyZrLkKwt,5sXaGoRLSpd7VeyZrLkKwt,Gregory Alan Isakov,artist,spotify:artist:5sXaGoRLSpd7VeyZrLkKwt,https://open.spotify.com/artist/5sXaGoRLSpd7VeyZrLkKwt,1,272346,FALSE,FALSE,https://api.spotify.com/v1/tracks/7gDNQLV9cr8449LFrQbk5J,FALSE,San Luis,67,https://p.scdn.co/mp3-preview/8f791306e81307c99a084a150505c74a34ff3a43?cid=3aae041578b64519942b572adc41f54b,TRUE,2,track,spotify:track:7gDNQLV9cr8449LFrQbk5J,album,https://api.spotify.com/v1/albums/5K7PZiOlAn8sxxhh0QTFuJ,5K7PZiOlAn8sxxhh0QTFuJ,Evening Machines,2018-10-05,day,12,album,spotify:album:5K7PZiOlAn8sxxhh0QTFuJ,https://open.spotify.com/album/5K7PZiOlAn8sxxhh0QTFuJ,USDMG1888302,https://open.spotify.com/track/7gDNQLV9cr8449LFrQbk5J,NA,G,minor,G minor,fna
37i9dQZF1DWYdLqwKCcDiy,Best of Folk & Americana 2019,https://i.scdn.co/image/ab67706f000000033bab14819f407e69ed2fbe66,Spotify,spotify,0.527,0.224,4,-13.415,1,0.0309,0.957,0.0201,0.0932,0.227,113.844,4bHIsdXLSWWONWKv15L5YT,https://api.spotify.com/v1/audio-analysis/4bHIsdXLSWWONWKv15L5YT,3,2019-12-10T05:03:28Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/37eqxl8DyLd5sQN54wYJbE,37eqxl8DyLd5sQN54wYJbE,Hiss Golden Messenger,artist,spotify:artist:37eqxl8DyLd5sQN54wYJbE,https://open.spotify.com/artist/37eqxl8DyLd5sQN54wYJbE,1,191606,FALSE,FALSE,https://api.spotify.com/v1/tracks/4bHIsdXLSWWONWKv15L5YT,FALSE,Terms of Surrender,42,https://p.scdn.co/mp3-preview/6762c88fd92c86a379b2a9d40b94585eb26da6c8?cid=3aae041578b64519942b572adc41f54b,TRUE,10,track,spotify:track:4bHIsdXLSWWONWKv15L5YT,album,https://api.spotify.com/v1/albums/23h1Qs3UhemYK1ekqgw1uk,23h1Qs3UhemYK1ekqgw1uk,Terms of Surrender,2019-09-20,day,10,album,spotify:album:23h1Qs3UhemYK1ekqgw1uk,https://open.spotify.com/album/23h1Qs3UhemYK1ekqgw1uk,USMRG1967510,https://open.spotify.com/track/4bHIsdXLSWWONWKv15L5YT,NA,E,major,E major,fna
