playlist_id,playlist_name,playlist_img,playlist_owner_name,playlist_owner_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,analysis_url,time_signature,added_at,is_local,primary_color,added_by.href,added_by.id,added_by.type,added_by.uri,added_by.external_urls.spotify,href,id,name,type,uri,external_urls.spotify,track.disc_number,track.duration_ms,track.episode,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track,track.track_number,track.type,track.uri,track.album.album_type,track.album.href,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url,key_name,mode_name,key_mode,genre
37i9dQZF1DWTc5QDlvD7t0,Ultimate Indie Presents... Best Tracks of 2019,https://i.scdn.co/image/ab67706f0000000337cde70efa74a489d7bb3fff,Spotify,spotify,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,6UFivO2zqqPFPoQYsEMuCc,https://api.spotify.com/v1/audio-analysis/6UFivO2zqqPFPoQYsEMuCc,4,2019-12-09T23:16:54Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/3l0CmX0FuQjFxr8SK7Vqag,3l0CmX0FuQjFxr8SK7Vqag,Clairo,artist,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,https://open.spotify.com/artist/3l0CmX0FuQjFxr8SK7Vqag,1,260519,FALSE,FALSE,https://api.spotify.com/v1/tracks/6UFivO2zqqPFPoQYsEMuCc,FALSE,Bags,71,NA,TRUE,5,track,spotify:track:6UFivO2zqqPFPoQYsEMuCc,album,https://api.spotify.com/v1/albums/4kkVGtCqE2NiAKosri9Rnd,4kkVGtCqE2NiAKosri9Rnd,Immunity,2019-08-02,day,11,album,spotify:album:4kkVGtCqE2NiAKosri9Rnd,https://open.spotify.com/album/4kkVGtCqE2NiAKosri9Rnd,US4HB1900080,https://open.spotify.com/track/6UFivO2zqqPFPoQYsEMuCc,NA,C#,major,C# major,indie
37i9dQZF1DWTc5QDlvD7t0,Ultimate Indie Presents... Best Tracks of 2019,https://i.scdn.co/image/ab67706f0000000337cde70efa74a489d7bb3fff,Spotify,spotify,0.218,0.215,5,-12.49,1,0.0368,0.967,0.0847,0.0948,0.138,76.74,3RIgHHpnFKj5Rni1shokDj,https://api.spotify.com/v1/audio-analysis/3RIgHHpnFKj5Rni1shokDj,1,2019-12-09T23:16:54Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/00FQb4jTyendYWaN8pK0wa,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,artist,spotify:artist:00FQb4jTyendYWaN8pK0wa,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,1,248934,FALSE,TRUE,https://api.spotify.com/v1/tracks/3RIgHHpnFKj5Rni1shokDj,FALSE,Norman fucking Rockwell,69,NA,TRUE,1,track,spotify:track:3RIgHHpnFKj5Rni1shokDj,album,https://api.spotify.com/v1/albums/5XpEKORZ4y6OrCZSKsi46A,5XpEKORZ4y6OrCZSKsi46A,Norman Fucking Rockwell!,2019-08-30,day,14,album,spotify:album:5XpEKORZ4y6OrCZSKsi46A,https://open.spotify.com/album/5XpEKORZ4y6OrCZSKsi46A,GBUM71903153,https://open.spotify.com/track/3RIgHHpnFKj5Rni1shokDj,NA,F,major,F major,indie
37i9dQZF1DWTc5QDlvD7t0,Ultimate Indie Presents... Best Tracks of 2019,https://i.scdn.co/image/ab67706f0000000337cde70efa74a489d7bb3fff,Spotify,spotify,0.71,0.336,2,-11.001,1,0.0462,0.542,0.0204,0.114,0.34,80.002,13JjdKeIUy6P916p3MemXn,https://api.spotify.com/v1/audio-analysis/13JjdKeIUy6P916p3MemXn,4,2019-12-09T23:16:54Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/53wZLCnhshZKDRs3uopFBc,53wZLCnhshZKDRs3uopFBc,Jai Paul,artist,spotify:artist:53wZLCnhshZKDRs3uopFBc,https://open.spotify.com/artist/53wZLCnhshZKDRs3uopFBc,1,274995,FALSE,FALSE,https://api.spotify.com/v1/tracks/13JjdKeIUy6P916p3MemXn,FALSE,Do You Love Her Now,26,NA,TRUE,1,track,spotify:track:13JjdKeIUy6P916p3MemXn,single,https://api.spotify.com/v1/albums/6DnxZc9FT5qSMKKFDdviO2,6DnxZc9FT5qSMKKFDdviO2,Do You Love Her Now / He,2019-06-02,day,2,album,spotify:album:6DnxZc9FT5qSMKKFDdviO2,https://open.spotify.com/album/6DnxZc9FT5qSMKKFDdviO2,GBBKS1900016,https://open.spotify.com/track/13JjdKeIUy6P916p3MemXn,NA,D,major,D major,indie
37i9dQZF1DWTc5QDlvD7t0,Ultimate Indie Presents... Best Tracks of 2019,https://i.scdn.co/image/ab67706f0000000337cde70efa74a489d7bb3fff,Spotify,spotify,0.463,0.282,2,-12.075,1,0.0424,0.884,1.58e-4,0.0983,0.244,106.952,3VwZqgfrM3xb1usuLprkTu,https://api.spotify.com/v1/audio-analysis/3VwZqgfrM3xb1usuLprkTu,4,2019-12-09T23:16:54Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/6nB0iY1cjSY1KyhYyuIIKH,6nB0iY1cjSY1KyhYyuIIKH,FKA twigs,artist,spotify:artist:6nB0iY1cjSY1KyhYyuIIKH,https://open.spotify.com/artist/6nB0iY1cjSY1KyhYyuIIKH,1,204248,FALSE,FALSE,https://api.spotify.com/v1/tracks/3VwZqgfrM3xb1usuLprkTu,FALSE,cellophane,21,NA,TRUE,1,track,spotify:track:3VwZqgfrM3xb1usuLprkTu,single,https://api.spotify.com/v1/albums/7xaC6bVJqAatWaCj9OossS,7xaC6bVJqAatWaCj9OossS,cellophane,2019-04-24,day,1,album,spotify:album:7xaC6bVJqAatWaCj9OossS,https://open.spotify.com/album/7xaC6bVJqAatWaCj9OossS,UK7MC1900009,https://open.spotify.com/track/3VwZqgfrM3xb1usuLprkTu,NA,D,major,D major,indie
37i9dQZF1DWTc5QDlvD7t0,Ultimate Indie Presents... Best Tracks of 2019,https://i.scdn.co/image/ab67706f0000000337cde70efa74a489d7bb3fff,Spotify,spotify,0.505,0.746,7,-7.793,1,0.0271,0.00165,0.0455,0.266,0.723,138.131,3NEeKJm8LcdaDG98oZwSZx,https://api.spotify.com/v1/audio-analysis/3NEeKJm8LcdaDG98oZwSZx,4,2019-12-09T23:16:54Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/1ll45mCZIveI9KHNZx2DdS,1ll45mCZIveI9KHNZx2DdS,Purple Mountains,artist,spotify:artist:1ll45mCZIveI9KHNZx2DdS,https://open.spotify.com/artist/1ll45mCZIveI9KHNZx2DdS,1,260279,FALSE,FALSE,https://api.spotify.com/v1/tracks/3NEeKJm8LcdaDG98oZwSZx,FALSE,All My Happiness is Gone,0,NA,TRUE,2,track,spotify:track:3NEeKJm8LcdaDG98oZwSZx,album,https://api.spotify.com/v1/albums/5NCdiiTgky5PbjmCtcgwtn,5NCdiiTgky5PbjmCtcgwtn,Purple Mountains,2019-07-12,day,10,album,spotify:album:5NCdiiTgky5PbjmCtcgwtn,https://open.spotify.com/album/5NCdiiTgky5PbjmCtcgwtn,US58L1968002,https://open.spotify.com/track/3NEeKJm8LcdaDG98oZwSZx,NA,G,major,G major,indie
37i9dQZF1DWTc5QDlvD7t0,Ultimate Indie Presents... Best Tracks of 2019,https://i.scdn.co/image/ab67706f0000000337cde70efa74a489d7bb3fff,Spotify,spotify,0.826,0.365,1,-7.024,1,0.0412,0.849,3.8e-6,0.186,0.802,85.244,4zMmqb0pYwX6b0qc0slCoT,https://api.spotify.com/v1/audio-analysis/4zMmqb0pYwX6b0qc0slCoT,4,2019-12-09T23:16:54Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/4lPl9gqgox3JDiaJ1yklKh,4lPl9gqgox3JDiaJ1yklKh,Tierra Whack,artist,spotify:artist:4lPl9gqgox3JDiaJ1yklKh,https://open.spotify.com/artist/4lPl9gqgox3JDiaJ1yklKh,1,239324,FALSE,TRUE,https://api.spotify.com/v1/tracks/4zMmqb0pYwX6b0qc0slCoT,FALSE,Only Child,61,NA,TRUE,1,track,spotify:track:4zMmqb0pYwX6b0qc0slCoT,single,https://api.spotify.com/v1/albums/0vioXPjQ9v9dSkzw5xHrTQ,0vioXPjQ9v9dSkzw5xHrTQ,Only Child,2019-02-19,day,1,album,spotify:album:0vioXPjQ9v9dSkzw5xHrTQ,https://open.spotify.com/album/0vioXPjQ9v9dSkzw5xHrTQ,USUM71902128,https://open.spotify.com/track/4zMmqb0pYwX6b0qc0slCoT,NA,C#,major,C# major,indie
37i9dQZF1DWTc5QDlvD7t0,Ultimate Indie Presents... Best Tracks of 2019,https://i.scdn.co/image/ab67706f0000000337cde70efa74a489d7bb3fff,Spotify,spotify,0.411,0.285,0,-10.97,1,0.0306,0.872,3.54e-4,0.0993,0.213,72.139,0d6bZwEAi1XblGRhnzPfgC,https://api.spotify.com/v1/audio-analysis/0d6bZwEAi1XblGRhnzPfgC,4,2019-12-09T23:16:54Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/4LEiUm1SRbFMgfqnQTwUbQ,4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,artist,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ,1,216706,FALSE,FALSE,https://api.spotify.com/v1/tracks/0d6bZwEAi1XblGRhnzPfgC,FALSE,"Hey, Ma",68,https://p.scdn.co/mp3-preview/625ef5d640863ea2570bf591bb30b482ff83b1aa?cid=3aae041578b64519942b572adc41f54b,TRUE,5,track,spotify:track:0d6bZwEAi1XblGRhnzPfgC,album,https://api.spotify.com/v1/albums/54DU59anGQsdrFP7utpshG,54DU59anGQsdrFP7utpshG,"i,i",2019-08-09,day,13,album,spotify:album:54DU59anGQsdrFP7utpshG,https://open.spotify.com/album/54DU59anGQsdrFP7utpshG,US38Y1935005,https://open.spotify.com/track/0d6bZwEAi1XblGRhnzPfgC,NA,C,major,C major,indie
37i9dQZF1DWTc5QDlvD7t0,Ultimate Indie Presents... Best Tracks of 2019,https://i.scdn.co/image/ab67706f0000000337cde70efa74a489d7bb3fff,Spotify,spotify,0.422,0.788,11,-6.57,1,0.0556,0.101,0.00282,0.16,0.544,140.423,7IzJ7EGpIpq2vW3ylVTtMh,https://api.spotify.com/v1/audio-analysis/7IzJ7EGpIpq2vW3ylVTtMh,4,2019-12-09T23:16:54Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/5QdyldG4Fl4TPiOIeMNpBZ,5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,artist,spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ,https://open.spotify.com/artist/5QdyldG4Fl4TPiOIeMNpBZ,1,367093,FALSE,FALSE,https://api.spotify.com/v1/tracks/7IzJ7EGpIpq2vW3ylVTtMh,FALSE,Not,27,NA,TRUE,7,track,spotify:track:7IzJ7EGpIpq2vW3ylVTtMh,album,https://api.spotify.com/v1/albums/7pg8T6pajjHVZbiyB8bGxo,7pg8T6pajjHVZbiyB8bGxo,Two Hands,2019-10-11,day,10,album,spotify:album:7pg8T6pajjHVZbiyB8bGxo,https://open.spotify.com/album/7pg8T6pajjHVZbiyB8bGxo,GBAFL1900267,https://open.spotify.com/track/7IzJ7EGpIpq2vW3ylVTtMh,NA,B,major,B major,indie
37i9dQZF1DWTc5QDlvD7t0,Ultimate Indie Presents... Best Tracks of 2019,https://i.scdn.co/image/ab67706f0000000337cde70efa74a489d7bb3fff,Spotify,spotify,0.553,0.509,1,-7.955,1,0.353,0.515,0,0.154,0.264,153.674,5r7OKhOQl2vM8SZnCXSQk1,https://api.spotify.com/v1/audio-analysis/5r7OKhOQl2vM8SZnCXSQk1,4,2019-12-09T23:16:54Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/6yJ6QQ3Y5l0s0tn7b0arrO,6yJ6QQ3Y5l0s0tn7b0arrO,JPEGMAFIA,artist,spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO,https://open.spotify.com/artist/6yJ6QQ3Y5l0s0tn7b0arrO,1,210569,FALSE,TRUE,https://api.spotify.com/v1/tracks/5r7OKhOQl2vM8SZnCXSQk1,FALSE,Free The Frail,54,NA,TRUE,13,track,spotify:track:5r7OKhOQl2vM8SZnCXSQk1,album,https://api.spotify.com/v1/albums/5ilsl5R2lGACTnPZMKIp7o,5ilsl5R2lGACTnPZMKIp7o,All My Heroes Are Cornballs,2019-09-13,day,18,album,spotify:album:5ilsl5R2lGACTnPZMKIp7o,https://open.spotify.com/album/5ilsl5R2lGACTnPZMKIp7o,QZD5H1800113,https://open.spotify.com/track/5r7OKhOQl2vM8SZnCXSQk1,NA,C#,major,C# major,indie
37i9dQZF1DWTc5QDlvD7t0,Ultimate Indie Presents... Best Tracks of 2019,https://i.scdn.co/image/ab67706f0000000337cde70efa74a489d7bb3fff,Spotify,spotify,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-6,0.795,0.413,79.635,5hVghJ4KaYES3BFUATCYn0,https://api.spotify.com/v1/audio-analysis/5hVghJ4KaYES3BFUATCYn0,4,2019-12-09T23:16:54Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",artist,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF,1,190066,FALSE,TRUE,https://api.spotify.com/v1/tracks/5hVghJ4KaYES3BFUATCYn0,FALSE,EARFQUAKE,79,https://p.scdn.co/mp3-preview/d6528c193bac76f7a04bdf1ea9453ec016a94f88?cid=3aae041578b64519942b572adc41f54b,TRUE,2,track,spotify:track:5hVghJ4KaYES3BFUATCYn0,album,https://api.spotify.com/v1/albums/5zi7WsKlIiUXv09tbGLKsE,5zi7WsKlIiUXv09tbGLKsE,IGOR,2019-05-17,day,12,album,spotify:album:5zi7WsKlIiUXv09tbGLKsE,https://open.spotify.com/album/5zi7WsKlIiUXv09tbGLKsE,USQX91901111,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,NA,A,major,A major,indie
